날짜,금융투자,보험,투신,은행,기타금융,연기금등,기타법인,개인,외국인,합계
2021-04,"1,279,356","9,888","75,184","165,419","17,000","15,087","2,180","14,402","1,182,490","2,761,006"
2021-03,"2,445,892","33,146","124,608","226,723","22,483","58,593","31,733","76,017","2,194,090","5,213,285"
2021-02,"903,190","7,993","33,110","116,725","10,680","10,314","9,703","7,935","915,005","2,014,655"
2021-01,"860,707","5,890","32,001","88,607","7,818","9,417","18,556","4,820","782,869","1,810,685"
2020-12,"1,062,357","18,713","46,991","100,871","5,991","37,245","25,015","38,144","1,118,555","2,453,882"
2020-11,"812,616","7,972","43,119","108,807","7,460","9,231","1,735","9,100","916,241","1,916,281"
2020-10,"658,608","7,549","37,098","94,796","5,415","8,849","1,135","5,206","776,244","1,594,900"
2020-09,"1,545,055","22,300","68,244","162,022","6,726","36,841","11,491","56,136","1,282,320","3,191,135"
2020-08,"886,782","11,692","41,741","105,930","6,530","10,624","1,290","14,278","669,011","1,747,878"
2020-07,"715,482","6,530","32,357","73,579","6,743","7,050","1,340","14,213","596,909","1,454,203"
2020-06,"1,576,582","20,928","64,431","184,951","8,327","34,548","10,759","92,797","1,211,907","3,205,230"
2020-05,"854,091","9,141","46,895","139,481","4,940","9,449","1,339","8,490","625,237","1,699,063"
2020-04,"908,780","7,463","42,614","134,833","6,868","10,743","1,413","25,474","775,292","1,913,480"
2020-03,"2,137,627","32,267","101,766","286,542","14,342","48,857","18,722","107,809","1,834,006","4,581,938"
2020-02,"1,478,665","15,782","60,036","265,447","8,891","18,783","19,776","18,224","1,655,098","3,540,702"
2020-01,"1,097,660","15,020","57,306","307,972","8,310","17,543","9,027","11,054","1,340,071","2,863,963"
2019-12,"874,326","18,495","56,716","141,186","5,722","33,655","11,591","65,929","1,070,010","2,277,630"
2019-11,"1,149,324","9,947","53,058","171,214","7,733","10,045","1,172","24,288","1,385,706","2,812,487"
2019-10,"1,264,088","12,084","64,907","199,984","8,104","10,888","1,805","46,614","1,291,403","2,899,877"
2019-09,"1,398,634","15,717","66,611","247,833","4,631","34,384","9,167","63,801","1,330,320","3,171,098"
2019-08,"1,217,054","8,611","53,865","214,790","5,680","14,777","1,540","34,506","892,088","2,442,911"
2019-07,"932,563","8,225","43,847","156,583",615,"9,858","1,429","20,266","760,194","1,933,580"
2019-06,"1,382,527","21,497","58,789","255,209",250,"36,273","8,402","19,703","1,334,453","3,117,103"
2019-05,"677,056","10,423","33,715","177,933",0,"6,907",655,"7,709","683,794","1,598,192"
2019-04,"813,472","9,297","41,990","163,762",380,"6,013","4,151","26,054","724,334","1,789,453"
2019-03,"895,588","21,638","36,461","233,296",50,"25,311","12,402","31,721","1,130,385","2,386,852"
2019-02,"371,369","6,016","16,524","93,013",0,"3,661","5,209","5,284","413,668","914,744"
2019-01,"636,055","9,756","17,525","133,263",0,"3,778","7,402","24,460","558,013","1,390,252"
2018-12,"951,594","16,488","32,509","211,062","2,000","27,504","14,702","24,733","874,697","2,155,289"
2018-11,"763,016","10,830","31,920","157,243",100,"7,685","7,783","19,143","613,380","1,611,100"
2018-10,"868,134","8,990","36,848","230,322",310,"6,753","9,898","19,783","727,418","1,908,456"
2018-09,"1,191,379","23,190","48,884","272,615",855,"34,347","17,437","25,706","1,083,526","2,697,939"
2018-08,"817,260","9,699","23,132","214,240",337,"6,236","9,261","18,430","664,234","1,762,829"
2018-07,"796,948","12,950","31,725","172,071",0,"6,505","7,520","17,969","618,419","1,664,107"
2018-06,"965,988","20,023","54,653","184,797",0,"28,845","14,927","44,915","807,425","2,121,573"
2018-05,"913,115","14,189","33,440","225,077",100,"9,024","8,785","20,252","685,393","1,909,375"
2018-04,"727,481","10,696","33,247","217,271",100,"5,712","7,018","8,809","516,303","1,526,637"
2018-03,"995,566","15,611","64,182","223,213",100,"21,421","10,034","39,984","917,515","2,287,626"
2018-02,"728,451","9,332","28,295","195,223",0,"4,893","6,526","10,489","479,517","1,462,726"
2018-01,"913,706","14,530","43,266","270,391",200,"8,156","8,627","23,579","599,092","1,881,547"
2017-12,"740,735","17,772","63,263","180,336",243,"22,617","7,489","73,142","718,586","1,824,183"
2017-11,"863,689","8,687","52,399","238,931",300,"8,663","9,633","38,819","572,292","1,793,413"
2017-10,"830,982","10,870","55,777","307,811",305,"7,325","7,042","48,005","662,372","1,930,489"
2017-09,"1,115,979","17,475","59,712","236,464",200,"20,875","10,951","15,130","823,442","2,300,228"
2017-08,"828,795","11,445","33,419","217,463",0,"8,163","7,117","9,909","571,203","1,687,514"
2017-07,"864,783","7,192","42,828","213,680",200,"6,509","4,859","11,773","305,452","1,457,276"
2017-06,"1,428,083","16,989","82,948","270,125",200,"27,576","13,973","18,892","627,256","2,486,042"
2017-05,"810,644","3,720","28,920","141,171",0,"3,362","3,945","8,136","358,653","1,358,551"
2017-04,"948,639","8,626","45,364","173,837",0,"7,037","5,490","18,260","400,245","1,607,498"
2017-03,"1,303,552","16,261","84,038","209,980",250,"36,752","13,215","54,085","943,347","2,661,480"
2017-02,"752,386","8,553","35,729","161,350",0,"7,180","4,794","21,308","373,251","1,364,551"
2017-01,"915,806","10,918","51,652","200,580",0,"7,135","6,634","38,850","427,799","1,659,374"
2016-12,"1,136,405","12,873","80,161","184,227",60,"30,992","14,852","89,067","793,850","2,342,487"
2016-11,"1,614,005","16,805","69,716","381,473",535,"15,326","16,593","77,691","888,887","3,081,031"
2016-10,"1,265,425","13,234","63,232","279,209",20,"12,857","9,382","28,367","435,295","2,107,021"
2016-09,"1,308,445","14,546","61,174","292,342",110,"18,484","9,766","23,431","658,637","2,386,935"
2016-08,"853,728","10,285","26,042","188,908",40,"5,470","4,981","19,663","248,617","1,357,734"
2016-07,"910,819","8,817","31,810","206,433",70,"3,734","18,368","16,879","357,045","1,553,975"
2016-06,"1,421,092","17,648","72,004","276,386",150,"24,102","23,252","25,124","1,128,107","2,987,865"
2016-05,"890,156","12,318","28,847","186,211",242,"7,938","17,838","16,866","454,328","1,614,744"
2016-04,"1,063,977","12,134","27,921","217,244",103,"4,874","14,268","19,602","544,821","1,904,944"
2016-03,"1,664,244","18,984","44,468","332,606",319,"28,795","11,536","32,493","964,808","3,098,253"
